scheme,condition,n_pos,auroc,ci_lo,ci_hi,tpr_1fpr,pos_stat_mean,attneg_stat_mean
EXP,clean,96,1.0,0.9999999999999999,1.0,1.0,50.02090921417238,0.44724659744620165
EXP,dia100,96,0.9891493055555556,0.9778645833333334,0.9967447916666666,0.9166666666666666,6.772646296178816,0.38997341942184754
EXP,dia50,96,1.0,0.9999999999999999,1.0,1.0,15.08045165375234,0.3790833499215682
EXP,morph,96,1.0,0.9999999999999999,1.0,1.0,49.05196405498452,0.4448931189337504
EXP,morph+dia,96,0.9891493055555556,0.9778645833333334,0.9967447916666666,0.9166666666666666,6.696335248869791,0.4091439236042896
EXP,morph_v1,96,1.0,0.9999999999999999,1.0,1.0,48.05242341600016,0.4373272191316348
EXP,morph_v1+dia,96,0.9913194444444445,0.9810085720486111,0.997829861111111,0.9166666666666666,6.66382997116779,0.40363126102156316
EXP,rtt,96,0.9166666666666666,0.8728271484375001,0.9543212890624999,0.625,2.443346624777329,0.5054163108753317
EXP,para,96,0.9696180555555555,0.9406412760416666,0.9903455946180556,0.8958333333333334,9.686147151384125,0.4213779218125402
EXP,launder,96,0.9347873263888888,0.8934326171874999,0.967556423611111,0.8229166666666666,10.751557930561793,0.46045241352675054
EXP,launder_api,96,0.858181423611111,0.8008897569444445,0.9069091796875001,0.625,2.6151830892584425,0.3768136626121847
KGW,clean,96,1.0,0.9999999999999999,1.0,1.0,8.965542996476634,0.2834936110703619
KGW,dia100,96,0.9850260416666666,0.9695068359375,0.995876736111111,0.8541666666666666,4.659497857818855,0.04893404868576468
KGW,dia50,96,0.9994574652777779,0.9982638888888888,1.0,0.9791666666666666,6.186680901150868,0.337040638342954
KGW,morph,96,1.0,0.9999999999999999,1.0,1.0,8.935557027143505,0.29712973989120645
KGW,morph+dia,96,0.9850260416666666,0.9695041232638889,0.9959879557291667,0.84375,4.636256511581009,0.0325522718739992
KGW,morph_v1,96,1.0,0.9999999999999999,1.0,1.0,8.845686425132998,0.2810514339962274
KGW,morph_v1+dia,96,0.9848090277777777,0.9692898220486111,0.99609375,0.84375,4.622096645622036,0.04016498677892618
KGW,rtt,96,0.9156901041666666,0.8752115885416666,0.9522067599826389,0.4479166666666667,2.8802970493538838,0.5680764682869525
KGW,para,96,0.9296875,0.8926866319444445,0.9632215711805556,0.6979166666666666,4.018858255478794,0.4029574067107807
KGW,launder,96,0.9690755208333333,0.9471435546874999,0.9891493055555556,0.71875,4.937746556578106,0.6088798429213832
KGW,launder_api,96,0.9059244791666667,0.8641493055555556,0.9420681423611111,0.3958333333333333,2.8574820229941538,0.3517559872311688
SynthID,clean,96,1.0,0.9999999999999999,1.0,1.0,0.5599697469469919,0.4960332695770487
SynthID,dia100,96,0.9715169270833333,0.9461222330729167,0.9913248697916668,0.7916666666666666,0.5137950291947069,0.49621987590806577
SynthID,dia50,96,0.9986979166666666,0.9958740234375001,1.0,0.9791666666666666,0.5262318159866958,0.49552238424226874
SynthID,morph,96,1.0,0.9999999999999999,1.0,1.0,0.5593335249034886,0.496122159760565
SynthID,morph+dia,96,0.9708658854166666,0.9451483832465278,0.9911024305555555,0.78125,0.513711060088589,0.49633107793614445
SynthID,morph_v1,96,1.0,0.9999999999999999,1.0,1.0,0.5585478195356338,0.49616765932490176
SynthID,morph_v1+dia,96,0.9674479166666666,0.9410780164930556,0.9881727430555556,0.7708333333333334,0.513489332157183,0.4962501575109117
SynthID,rtt,96,0.8349609375,0.7759033203125,0.8859619140625,0.3645833333333333,0.5044964754882783,0.49731166736008525
SynthID,para,96,0.9199218750000001,0.8770616319444444,0.9548692491319445,0.7291666666666666,0.5142096367562528,0.49600468881549437
SynthID,launder,96,0.8934461805555556,0.8439643012152778,0.9355604383680556,0.6979166666666666,0.5166458187186111,0.49616005684216874
SynthID,launder_api,96,0.7783745659722223,0.7082194010416666,0.8411539713541666,0.23958333333333334,0.5030788311517778,0.49550242697100555
